Age,EstimatedSalary,Purchased,AgeGroup,SalaryGroup,PurchaseStatus,SalaryPerAge
19,19000,0,18-25,Low (≤30K),Not Purchased,1000.0
35,20000,0,26-35,Low (≤30K),Not Purchased,571.43
26,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1653.85
27,57000,0,26-35,Medium-Low (30K-60K),Not Purchased,2111.11
19,76000,0,18-25,Medium (60K-90K),Not Purchased,4000.0
27,58000,0,26-35,Medium-Low (30K-60K),Not Purchased,2148.15
27,84000,0,26-35,Medium (60K-90K),Not Purchased,3111.11
32,150000,1,26-35,High (>120K),Purchased,4687.5
25,33000,0,18-25,Medium-Low (30K-60K),Not Purchased,1320.0
35,65000,0,26-35,Medium (60K-90K),Not Purchased,1857.14
26,80000,0,26-35,Medium (60K-90K),Not Purchased,3076.92
26,52000,0,26-35,Medium-Low (30K-60K),Not Purchased,2000.0
20,86000,0,18-25,Medium (60K-90K),Not Purchased,4300.0
32,18000,0,26-35,Low (≤30K),Not Purchased,562.5
18,82000,0,18-25,Medium (60K-90K),Not Purchased,4555.56
29,80000,0,26-35,Medium (60K-90K),Not Purchased,2758.62
47,25000,1,46-55,Low (≤30K),Purchased,531.91
45,26000,1,36-45,Low (≤30K),Purchased,577.78
46,28000,1,46-55,Low (≤30K),Purchased,608.7
48,29000,1,46-55,Low (≤30K),Purchased,604.17
45,22000,1,36-45,Low (≤30K),Purchased,488.89
47,49000,1,46-55,Medium-Low (30K-60K),Purchased,1042.55
48,41000,1,46-55,Medium-Low (30K-60K),Purchased,854.17
46,23000,1,46-55,Low (≤30K),Purchased,500.0
47,20000,1,46-55,Low (≤30K),Purchased,425.53
49,28000,1,46-55,Low (≤30K),Purchased,571.43
47,30000,1,46-55,Low (≤30K),Purchased,638.3
29,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1482.76
31,18000,0,26-35,Low (≤30K),Not Purchased,580.65
31,74000,0,26-35,Medium (60K-90K),Not Purchased,2387.1
27,137000,1,26-35,High (>120K),Purchased,5074.07
21,16000,0,18-25,Low (≤30K),Not Purchased,761.9
28,44000,0,26-35,Medium-Low (30K-60K),Not Purchased,1571.43
27,90000,0,26-35,Medium (60K-90K),Not Purchased,3333.33
35,27000,0,26-35,Low (≤30K),Not Purchased,771.43
33,28000,0,26-35,Low (≤30K),Not Purchased,848.48
30,49000,0,26-35,Medium-Low (30K-60K),Not Purchased,1633.33
26,72000,0,26-35,Medium (60K-90K),Not Purchased,2769.23
27,31000,0,26-35,Medium-Low (30K-60K),Not Purchased,1148.15
27,17000,0,26-35,Low (≤30K),Not Purchased,629.63
33,51000,0,26-35,Medium-Low (30K-60K),Not Purchased,1545.45
35,108000,0,26-35,Medium-High (90K-120K),Not Purchased,3085.71
30,15000,0,26-35,Low (≤30K),Not Purchased,500.0
28,84000,0,26-35,Medium (60K-90K),Not Purchased,3000.0
23,20000,0,18-25,Low (≤30K),Not Purchased,869.57
25,79000,0,18-25,Medium (60K-90K),Not Purchased,3160.0
27,54000,0,26-35,Medium-Low (30K-60K),Not Purchased,2000.0
30,135000,1,26-35,High (>120K),Purchased,4500.0
31,89000,0,26-35,Medium (60K-90K),Not Purchased,2870.97
24,32000,0,18-25,Medium-Low (30K-60K),Not Purchased,1333.33
18,44000,0,18-25,Medium-Low (30K-60K),Not Purchased,2444.44
29,83000,0,26-35,Medium (60K-90K),Not Purchased,2862.07
35,23000,0,26-35,Low (≤30K),Not Purchased,657.14
24,55000,0,18-25,Medium-Low (30K-60K),Not Purchased,2291.67
23,48000,0,18-25,Medium-Low (30K-60K),Not Purchased,2086.96
28,79000,0,26-35,Medium (60K-90K),Not Purchased,2821.43
22,18000,0,18-25,Low (≤30K),Not Purchased,818.18
32,117000,0,26-35,Medium-High (90K-120K),Not Purchased,3656.25
27,20000,0,26-35,Low (≤30K),Not Purchased,740.74
25,87000,0,18-25,Medium (60K-90K),Not Purchased,3480.0
23,66000,0,18-25,Medium (60K-90K),Not Purchased,2869.57
32,120000,1,26-35,Medium-High (90K-120K),Purchased,3750.0
59,83000,0,55+,Medium (60K-90K),Not Purchased,1406.78
24,58000,0,18-25,Medium-Low (30K-60K),Not Purchased,2416.67
24,19000,0,18-25,Low (≤30K),Not Purchased,791.67
23,82000,0,18-25,Medium (60K-90K),Not Purchased,3565.22
22,63000,0,18-25,Medium (60K-90K),Not Purchased,2863.64
31,68000,0,26-35,Medium (60K-90K),Not Purchased,2193.55
25,80000,0,18-25,Medium (60K-90K),Not Purchased,3200.0
24,27000,0,18-25,Low (≤30K),Not Purchased,1125.0
20,23000,0,18-25,Low (≤30K),Not Purchased,1150.0
33,113000,0,26-35,Medium-High (90K-120K),Not Purchased,3424.24
34,112000,1,26-35,Medium-High (90K-120K),Purchased,3294.12
18,52000,0,18-25,Medium-Low (30K-60K),Not Purchased,2888.89
22,27000,0,18-25,Low (≤30K),Not Purchased,1227.27
28,87000,0,26-35,Medium (60K-90K),Not Purchased,3107.14
26,17000,0,26-35,Low (≤30K),Not Purchased,653.85
30,80000,0,26-35,Medium (60K-90K),Not Purchased,2666.67
39,42000,0,36-45,Medium-Low (30K-60K),Not Purchased,1076.92
20,49000,0,18-25,Medium-Low (30K-60K),Not Purchased,2450.0
35,88000,0,26-35,Medium (60K-90K),Not Purchased,2514.29
30,62000,0,26-35,Medium (60K-90K),Not Purchased,2066.67
31,118000,1,26-35,Medium-High (90K-120K),Purchased,3806.45
28,85000,0,26-35,Medium (60K-90K),Not Purchased,3035.71
26,81000,0,26-35,Medium (60K-90K),Not Purchased,3115.38
35,50000,0,26-35,Medium-Low (30K-60K),Not Purchased,1428.57
22,81000,0,18-25,Medium (60K-90K),Not Purchased,3681.82
30,116000,0,26-35,Medium-High (90K-120K),Not Purchased,3866.67
26,15000,0,26-35,Low (≤30K),Not Purchased,576.92
29,28000,0,26-35,Low (≤30K),Not Purchased,965.52
35,44000,0,26-35,Medium-Low (30K-60K),Not Purchased,1257.14
35,25000,0,26-35,Low (≤30K),Not Purchased,714.29
28,123000,1,26-35,High (>120K),Purchased,4392.86
35,73000,0,26-35,Medium (60K-90K),Not Purchased,2085.71
28,37000,0,26-35,Medium-Low (30K-60K),Not Purchased,1321.43
27,88000,0,26-35,Medium (60K-90K),Not Purchased,3259.26
28,59000,0,26-35,Medium-Low (30K-60K),Not Purchased,2107.14
32,86000,0,26-35,Medium (60K-90K),Not Purchased,2687.5
33,149000,1,26-35,High (>120K),Purchased,4515.15
19,21000,0,18-25,Low (≤30K),Not Purchased,1105.26
21,72000,0,18-25,Medium (60K-90K),Not Purchased,3428.57
26,35000,0,26-35,Medium-Low (30K-60K),Not Purchased,1346.15
27,89000,0,26-35,Medium (60K-90K),Not Purchased,3296.3
26,86000,0,26-35,Medium (60K-90K),Not Purchased,3307.69
38,80000,0,36-45,Medium (60K-90K),Not Purchased,2105.26
39,71000,0,36-45,Medium (60K-90K),Not Purchased,1820.51
37,71000,0,36-45,Medium (60K-90K),Not Purchased,1918.92
38,61000,0,36-45,Medium (60K-90K),Not Purchased,1605.26
37,55000,0,36-45,Medium-Low (30K-60K),Not Purchased,1486.49
42,80000,0,36-45,Medium (60K-90K),Not Purchased,1904.76
40,57000,0,36-45,Medium-Low (30K-60K),Not Purchased,1425.0
35,75000,0,26-35,Medium (60K-90K),Not Purchased,2142.86
36,52000,0,36-45,Medium-Low (30K-60K),Not Purchased,1444.44
40,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1475.0
41,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1439.02
36,75000,0,36-45,Medium (60K-90K),Not Purchased,2083.33
37,72000,0,36-45,Medium (60K-90K),Not Purchased,1945.95
40,75000,0,36-45,Medium (60K-90K),Not Purchased,1875.0
35,53000,0,26-35,Medium-Low (30K-60K),Not Purchased,1514.29
41,51000,0,36-45,Medium-Low (30K-60K),Not Purchased,1243.9
39,61000,0,36-45,Medium (60K-90K),Not Purchased,1564.1
42,65000,0,36-45,Medium (60K-90K),Not Purchased,1547.62
26,32000,0,26-35,Medium-Low (30K-60K),Not Purchased,1230.77
30,17000,0,26-35,Low (≤30K),Not Purchased,566.67
26,84000,0,26-35,Medium (60K-90K),Not Purchased,3230.77
31,58000,0,26-35,Medium-Low (30K-60K),Not Purchased,1870.97
33,31000,0,26-35,Medium-Low (30K-60K),Not Purchased,939.39
30,87000,0,26-35,Medium (60K-90K),Not Purchased,2900.0
21,68000,0,18-25,Medium (60K-90K),Not Purchased,3238.1
28,55000,0,26-35,Medium-Low (30K-60K),Not Purchased,1964.29
23,63000,0,18-25,Medium (60K-90K),Not Purchased,2739.13
20,82000,0,18-25,Medium (60K-90K),Not Purchased,4100.0
30,107000,1,26-35,Medium-High (90K-120K),Purchased,3566.67
19,25000,0,18-25,Low (≤30K),Not Purchased,1315.79
19,85000,0,18-25,Medium (60K-90K),Not Purchased,4473.68
18,68000,0,18-25,Medium (60K-90K),Not Purchased,3777.78
35,59000,0,26-35,Medium-Low (30K-60K),Not Purchased,1685.71
30,89000,0,26-35,Medium (60K-90K),Not Purchased,2966.67
34,25000,0,26-35,Low (≤30K),Not Purchased,735.29
24,89000,0,18-25,Medium (60K-90K),Not Purchased,3708.33
27,96000,1,26-35,Medium-High (90K-120K),Purchased,3555.56
41,30000,0,36-45,Low (≤30K),Not Purchased,731.71
29,61000,0,26-35,Medium (60K-90K),Not Purchased,2103.45
20,74000,0,18-25,Medium (60K-90K),Not Purchased,3700.0
41,45000,0,36-45,Medium-Low (30K-60K),Not Purchased,1097.56
31,76000,0,26-35,Medium (60K-90K),Not Purchased,2451.61
36,50000,0,36-45,Medium-Low (30K-60K),Not Purchased,1388.89
40,47000,0,36-45,Medium-Low (30K-60K),Not Purchased,1175.0
31,15000,0,26-35,Low (≤30K),Not Purchased,483.87
46,59000,0,46-55,Medium-Low (30K-60K),Not Purchased,1282.61
29,75000,0,26-35,Medium (60K-90K),Not Purchased,2586.21
26,30000,0,26-35,Low (≤30K),Not Purchased,1153.85
32,135000,1,26-35,High (>120K),Purchased,4218.75
32,100000,1,26-35,Medium-High (90K-120K),Purchased,3125.0
25,90000,0,18-25,Medium (60K-90K),Not Purchased,3600.0
37,33000,0,36-45,Medium-Low (30K-60K),Not Purchased,891.89
35,38000,0,26-35,Medium-Low (30K-60K),Not Purchased,1085.71
33,69000,0,26-35,Medium (60K-90K),Not Purchased,2090.91
18,86000,0,18-25,Medium (60K-90K),Not Purchased,4777.78
22,55000,0,18-25,Medium-Low (30K-60K),Not Purchased,2500.0
35,71000,0,26-35,Medium (60K-90K),Not Purchased,2028.57
29,148000,1,26-35,High (>120K),Purchased,5103.45
29,47000,0,26-35,Medium-Low (30K-60K),Not Purchased,1620.69
21,88000,0,18-25,Medium (60K-90K),Not Purchased,4190.48
34,115000,0,26-35,Medium-High (90K-120K),Not Purchased,3382.35
26,118000,0,26-35,Medium-High (90K-120K),Not Purchased,4538.46
34,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1264.71
34,72000,0,26-35,Medium (60K-90K),Not Purchased,2117.65
23,28000,0,18-25,Low (≤30K),Not Purchased,1217.39
35,47000,0,26-35,Medium-Low (30K-60K),Not Purchased,1342.86
25,22000,0,18-25,Low (≤30K),Not Purchased,880.0
24,23000,0,18-25,Low (≤30K),Not Purchased,958.33
31,34000,0,26-35,Medium-Low (30K-60K),Not Purchased,1096.77
26,16000,0,26-35,Low (≤30K),Not Purchased,615.38
31,71000,0,26-35,Medium (60K-90K),Not Purchased,2290.32
32,117000,1,26-35,Medium-High (90K-120K),Purchased,3656.25
33,43000,0,26-35,Medium-Low (30K-60K),Not Purchased,1303.03
33,60000,0,26-35,Medium-Low (30K-60K),Not Purchased,1818.18
31,66000,0,26-35,Medium (60K-90K),Not Purchased,2129.03
33,41000,0,26-35,Medium-Low (30K-60K),Not Purchased,1242.42
35,72000,0,26-35,Medium (60K-90K),Not Purchased,2057.14
28,32000,0,26-35,Medium-Low (30K-60K),Not Purchased,1142.86
24,84000,0,18-25,Medium (60K-90K),Not Purchased,3500.0
19,26000,0,18-25,Low (≤30K),Not Purchased,1368.42
19,70000,0,18-25,Medium (60K-90K),Not Purchased,3684.21
28,89000,0,26-35,Medium (60K-90K),Not Purchased,3178.57
30,79000,0,26-35,Medium (60K-90K),Not Purchased,2633.33
20,36000,0,18-25,Medium-Low (30K-60K),Not Purchased,1800.0
35,22000,0,26-35,Low (≤30K),Not Purchased,628.57
35,39000,0,26-35,Medium-Low (30K-60K),Not Purchased,1114.29
49,74000,0,46-55,Medium (60K-90K),Not Purchased,1510.2
39,134000,1,36-45,High (>120K),Purchased,3435.9
41,71000,0,36-45,Medium (60K-90K),Not Purchased,1731.71
58,101000,1,55+,Medium-High (90K-120K),Purchased,1741.38
47,47000,0,46-55,Medium-Low (30K-60K),Not Purchased,1000.0
55,130000,1,46-55,High (>120K),Purchased,2363.64
52,114000,0,46-55,Medium-High (90K-120K),Not Purchased,2192.31
40,142000,1,36-45,High (>120K),Purchased,3550.0
46,22000,0,46-55,Low (≤30K),Not Purchased,478.26
48,96000,1,46-55,Medium-High (90K-120K),Purchased,2000.0
52,150000,1,46-55,High (>120K),Purchased,2884.62
59,42000,0,55+,Medium-Low (30K-60K),Not Purchased,711.86
35,58000,0,26-35,Medium-Low (30K-60K),Not Purchased,1657.14
47,43000,0,46-55,Medium-Low (30K-60K),Not Purchased,914.89
60,108000,1,55+,Medium-High (90K-120K),Purchased,1800.0
49,65000,0,46-55,Medium (60K-90K),Not Purchased,1326.53
40,78000,0,36-45,Medium (60K-90K),Not Purchased,1950.0
46,96000,0,46-55,Medium-High (90K-120K),Not Purchased,2086.96
59,143000,1,55+,High (>120K),Purchased,2423.73
41,80000,0,36-45,Medium (60K-90K),Not Purchased,1951.22
35,91000,1,26-35,Medium-High (90K-120K),Purchased,2600.0
37,144000,1,36-45,High (>120K),Purchased,3891.89
60,102000,1,55+,Medium-High (90K-120K),Purchased,1700.0
35,60000,0,26-35,Medium-Low (30K-60K),Not Purchased,1714.29
37,53000,0,36-45,Medium-Low (30K-60K),Not Purchased,1432.43
36,126000,1,36-45,High (>120K),Purchased,3500.0
56,133000,1,55+,High (>120K),Purchased,2375.0
40,72000,0,36-45,Medium (60K-90K),Not Purchased,1800.0
42,80000,1,36-45,Medium (60K-90K),Purchased,1904.76
35,147000,1,26-35,High (>120K),Purchased,4200.0
40,107000,1,36-45,Medium-High (90K-120K),Purchased,2675.0
49,86000,1,46-55,Medium (60K-90K),Purchased,1755.1
38,112000,0,36-45,Medium-High (90K-120K),Not Purchased,2947.37
46,79000,1,46-55,Medium (60K-90K),Purchased,1717.39
37,80000,0,36-45,Medium (60K-90K),Not Purchased,2162.16
46,82000,0,46-55,Medium (60K-90K),Not Purchased,1782.61
53,143000,1,46-55,High (>120K),Purchased,2698.11
42,149000,1,36-45,High (>120K),Purchased,3547.62
38,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1552.63
50,88000,1,46-55,Medium (60K-90K),Purchased,1760.0
56,104000,1,55+,Medium-High (90K-120K),Purchased,1857.14
41,72000,0,36-45,Medium (60K-90K),Not Purchased,1756.1
51,146000,1,46-55,High (>120K),Purchased,2862.75
57,122000,1,55+,High (>120K),Purchased,2140.35
41,52000,0,36-45,Medium-Low (30K-60K),Not Purchased,1268.29
35,97000,1,26-35,Medium-High (90K-120K),Purchased,2771.43
44,39000,0,36-45,Medium-Low (30K-60K),Not Purchased,886.36
37,52000,0,36-45,Medium-Low (30K-60K),Not Purchased,1405.41
48,134000,1,46-55,High (>120K),Purchased,2791.67
37,146000,1,36-45,High (>120K),Purchased,3945.95
50,44000,0,46-55,Medium-Low (30K-60K),Not Purchased,880.0
52,90000,1,46-55,Medium (60K-90K),Purchased,1730.77
58,95000,1,55+,Medium-High (90K-120K),Purchased,1637.93
45,131000,1,36-45,High (>120K),Purchased,2911.11
35,77000,0,26-35,Medium (60K-90K),Not Purchased,2200.0
36,144000,1,36-45,High (>120K),Purchased,4000.0
55,125000,1,46-55,High (>120K),Purchased,2272.73
48,90000,1,46-55,Medium (60K-90K),Purchased,1875.0
42,108000,1,36-45,Medium-High (90K-120K),Purchased,2571.43
37,74000,0,36-45,Medium (60K-90K),Not Purchased,2000.0
47,144000,1,46-55,High (>120K),Purchased,3063.83
40,61000,0,36-45,Medium (60K-90K),Not Purchased,1525.0
43,133000,0,36-45,High (>120K),Not Purchased,3093.02
59,76000,1,55+,Medium (60K-90K),Purchased,1288.14
60,42000,1,55+,Medium-Low (30K-60K),Purchased,700.0
39,106000,1,36-45,Medium-High (90K-120K),Purchased,2717.95
57,26000,1,55+,Low (≤30K),Purchased,456.14
57,74000,1,55+,Medium (60K-90K),Purchased,1298.25
38,71000,0,36-45,Medium (60K-90K),Not Purchased,1868.42
49,88000,1,46-55,Medium (60K-90K),Purchased,1795.92
52,38000,1,46-55,Medium-Low (30K-60K),Purchased,730.77
50,36000,1,46-55,Medium-Low (30K-60K),Purchased,720.0
59,88000,1,55+,Medium (60K-90K),Purchased,1491.53
35,61000,0,26-35,Medium (60K-90K),Not Purchased,1742.86
37,70000,1,36-45,Medium (60K-90K),Purchased,1891.89
52,21000,1,46-55,Low (≤30K),Purchased,403.85
48,141000,0,46-55,High (>120K),Not Purchased,2937.5
37,93000,1,36-45,Medium-High (90K-120K),Purchased,2513.51
37,62000,0,36-45,Medium (60K-90K),Not Purchased,1675.68
48,138000,1,46-55,High (>120K),Purchased,2875.0
41,79000,0,36-45,Medium (60K-90K),Not Purchased,1926.83
37,78000,1,36-45,Medium (60K-90K),Purchased,2108.11
49,89000,1,46-55,Medium (60K-90K),Purchased,1816.33
55,39000,1,46-55,Medium-Low (30K-60K),Purchased,709.09
37,77000,0,36-45,Medium (60K-90K),Not Purchased,2081.08
35,57000,0,26-35,Medium-Low (30K-60K),Not Purchased,1628.57
36,63000,0,36-45,Medium (60K-90K),Not Purchased,1750.0
42,73000,1,36-45,Medium (60K-90K),Purchased,1738.1
43,112000,1,36-45,Medium-High (90K-120K),Purchased,2604.65
45,79000,0,36-45,Medium (60K-90K),Not Purchased,1755.56
46,117000,1,46-55,Medium-High (90K-120K),Purchased,2543.48
58,38000,1,55+,Medium-Low (30K-60K),Purchased,655.17
48,74000,1,46-55,Medium (60K-90K),Purchased,1541.67
37,137000,1,36-45,High (>120K),Purchased,3702.7
37,79000,1,36-45,Medium (60K-90K),Purchased,2135.14
40,60000,0,36-45,Medium-Low (30K-60K),Not Purchased,1500.0
42,54000,0,36-45,Medium-Low (30K-60K),Not Purchased,1285.71
51,134000,0,46-55,High (>120K),Not Purchased,2627.45
47,113000,1,46-55,Medium-High (90K-120K),Purchased,2404.26
36,125000,1,36-45,High (>120K),Purchased,3472.22
38,50000,0,36-45,Medium-Low (30K-60K),Not Purchased,1315.79
42,70000,0,36-45,Medium (60K-90K),Not Purchased,1666.67
39,96000,1,36-45,Medium-High (90K-120K),Purchased,2461.54
49,141000,1,46-55,High (>120K),Purchased,2877.55
39,79000,0,36-45,Medium (60K-90K),Not Purchased,2025.64
39,75000,1,36-45,Medium (60K-90K),Purchased,1923.08
54,104000,1,46-55,Medium-High (90K-120K),Purchased,1925.93
35,55000,0,26-35,Medium-Low (30K-60K),Not Purchased,1571.43
45,32000,1,36-45,Medium-Low (30K-60K),Purchased,711.11
36,60000,0,36-45,Medium-Low (30K-60K),Not Purchased,1666.67
52,138000,1,46-55,High (>120K),Purchased,2653.85
53,82000,1,46-55,Medium (60K-90K),Purchased,1547.17
48,30000,1,46-55,Low (≤30K),Purchased,625.0
48,131000,1,46-55,High (>120K),Purchased,2729.17
41,60000,0,36-45,Medium-Low (30K-60K),Not Purchased,1463.41
42,75000,0,36-45,Medium (60K-90K),Not Purchased,1785.71
36,118000,1,36-45,Medium-High (90K-120K),Purchased,3277.78
47,107000,1,46-55,Medium-High (90K-120K),Purchased,2276.6
38,51000,0,36-45,Medium-Low (30K-60K),Not Purchased,1342.11
48,119000,1,46-55,Medium-High (90K-120K),Purchased,2479.17
40,65000,0,36-45,Medium (60K-90K),Not Purchased,1625.0
57,60000,1,55+,Medium-Low (30K-60K),Purchased,1052.63
36,54000,0,36-45,Medium-Low (30K-60K),Not Purchased,1500.0
58,144000,1,55+,High (>120K),Purchased,2482.76
35,79000,0,26-35,Medium (60K-90K),Not Purchased,2257.14
38,55000,0,36-45,Medium-Low (30K-60K),Not Purchased,1447.37
39,122000,1,36-45,High (>120K),Purchased,3128.21
53,104000,1,46-55,Medium-High (90K-120K),Purchased,1962.26
38,65000,0,36-45,Medium (60K-90K),Not Purchased,1710.53
47,51000,1,46-55,Medium-Low (30K-60K),Purchased,1085.11
47,105000,1,46-55,Medium-High (90K-120K),Purchased,2234.04
41,63000,0,36-45,Medium (60K-90K),Not Purchased,1536.59
53,72000,1,46-55,Medium (60K-90K),Purchased,1358.49
54,108000,1,46-55,Medium-High (90K-120K),Purchased,2000.0
39,77000,0,36-45,Medium (60K-90K),Not Purchased,1974.36
38,113000,1,36-45,Medium-High (90K-120K),Purchased,2973.68
37,75000,0,36-45,Medium (60K-90K),Not Purchased,2027.03
42,90000,1,36-45,Medium (60K-90K),Purchased,2142.86
37,57000,0,36-45,Medium-Low (30K-60K),Not Purchased,1540.54
36,99000,1,36-45,Medium-High (90K-120K),Purchased,2750.0
60,34000,1,55+,Medium-Low (30K-60K),Purchased,566.67
54,70000,1,46-55,Medium (60K-90K),Purchased,1296.3
40,71000,1,36-45,Medium (60K-90K),Purchased,1775.0
43,129000,1,36-45,High (>120K),Purchased,3000.0
53,34000,1,46-55,Medium-Low (30K-60K),Purchased,641.51
47,50000,1,46-55,Medium-Low (30K-60K),Purchased,1063.83
42,79000,0,36-45,Medium (60K-90K),Not Purchased,1880.95
42,104000,1,36-45,Medium-High (90K-120K),Purchased,2476.19
59,29000,1,55+,Low (≤30K),Purchased,491.53
58,47000,1,55+,Medium-Low (30K-60K),Purchased,810.34
46,88000,1,46-55,Medium (60K-90K),Purchased,1913.04
54,26000,1,46-55,Low (≤30K),Purchased,481.48
60,46000,1,55+,Medium-Low (30K-60K),Purchased,766.67
60,83000,1,55+,Medium (60K-90K),Purchased,1383.33
39,73000,0,36-45,Medium (60K-90K),Not Purchased,1871.79
59,130000,1,55+,High (>120K),Purchased,2203.39
46,32000,1,46-55,Medium-Low (30K-60K),Purchased,695.65
46,74000,0,46-55,Medium (60K-90K),Not Purchased,1608.7
42,53000,0,36-45,Medium-Low (30K-60K),Not Purchased,1261.9
41,87000,1,36-45,Medium (60K-90K),Purchased,2121.95
58,23000,1,55+,Low (≤30K),Purchased,396.55
42,64000,0,36-45,Medium (60K-90K),Not Purchased,1523.81
48,33000,1,46-55,Medium-Low (30K-60K),Purchased,687.5
44,139000,1,36-45,High (>120K),Purchased,3159.09
57,33000,1,55+,Medium-Low (30K-60K),Purchased,578.95
56,60000,1,55+,Medium-Low (30K-60K),Purchased,1071.43
49,39000,1,46-55,Medium-Low (30K-60K),Purchased,795.92
47,34000,1,46-55,Medium-Low (30K-60K),Purchased,723.4
48,35000,1,46-55,Medium-Low (30K-60K),Purchased,729.17
47,23000,1,46-55,Low (≤30K),Purchased,489.36
45,45000,1,36-45,Medium-Low (30K-60K),Purchased,1000.0
39,59000,0,36-45,Medium-Low (30K-60K),Not Purchased,1512.82
46,41000,1,46-55,Medium-Low (30K-60K),Purchased,891.3
51,23000,1,46-55,Low (≤30K),Purchased,450.98
50,20000,1,46-55,Low (≤30K),Purchased,400.0
36,33000,0,36-45,Medium-Low (30K-60K),Not Purchased,916.67
49,36000,1,46-55,Medium-Low (30K-60K),Purchased,734.69
